"Island","Observer","spec","Distance","Type","Mo","Day","Year","Transect","Station","Hour","CanopyCover","Rain","Wind","DetC","Date","Time","Stat_ID","Type_lbl","Island_Name"
2,"JE","COKI",70,1,3,29,82,5,10,825,30,0,0,1,1982-03-29,0,510,"Heard","Rota"
2,"JE","COKI",250,1,3,29,82,5,17,1016,50,0,0,1,1982-03-29,0,517,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"Heard","Rota"
2,"JE","COKI",9,2,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"Seen","Rota"
2,"JE","COKI",22,4,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"H&S","Rota"
2,"JE","COKI",150,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",39,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",39,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",130,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"JE","COKI",55,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,15,948,40,0,0,2,1982-03-29,0,515,"Heard","Rota"
2,"JE","COKI",130,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",120,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",50,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",33,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",38,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",225,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",36,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",10,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",10,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",110,1,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"Heard","Rota"
2,"JE","COKI",150,1,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",150,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",140,1,3,29,82,5,14,932,40,0,0,4,1982-03-29,0,514,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,14,932,40,0,0,4,1982-03-29,0,514,"Heard","Rota"
2,"JE","COKI",200,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"JE","COKI",70,4,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"H&S","Rota"
2,"JE","COKI",110,4,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"H&S","Rota"
2,"JE","COKI",200,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"JE","COKI",60,2,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Seen","Rota"
2,"JE","COKI",46,1,3,29,82,5,12,859,30,0,0,5,1982-03-29,0,512,"Heard","Rota"
2,"JE","COKI",150,2,3,29,82,5,12,859,30,0,0,5,1982-03-29,0,512,"Seen","Rota"
2,"JE","COKI",60,2,3,29,82,5,13,920,40,0,0,5,1982-03-29,0,513,"Seen","Rota"
2,"TA","COKI",65,1,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"Heard","Rota"
2,"TA","COKI",65,4,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"H&S","Rota"
2,"TA","COKI",75,1,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"TA","COKI",50,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"TA","COKI",50,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"TA","COKI",100,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",100,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",45,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",45,1,3,29,82,5,7,740,20,0,0,2,1982-03-29,0,507,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"TA","COKI",95,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"TA","COKI",65,4,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"H&S","Rota"
2,"TA","COKI",95,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"TA","COKI",85,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"TA","COKI",95,1,3,29,82,5,10,825,30,0,0,2,1982-03-29,0,510,"Heard","Rota"
2,"TA","COKI",95,1,3,29,82,5,10,825,30,0,0,2,1982-03-29,0,510,"Heard","Rota"
2,"TA","COKI",120,1,3,29,82,5,10,825,30,0,0,2,1982-03-29,0,510,"Heard","Rota"
2,"TA","COKI",95,1,3,29,82,5,17,1016,50,0,0,2,1982-03-29,0,517,"Heard","Rota"
2,"TA","COKI",250,1,3,29,82,5,17,1016,50,0,0,2,1982-03-29,0,517,"Heard","Rota"
2,"TA","COKI",45,1,3,29,82,5,17,1016,50,0,0,2,1982-03-29,0,517,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"TA","COKI",95,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"TA","COKI",75,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"TA","COKI",150,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"TA","COKI",85,2,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Seen","Rota"
2,"TA","COKI",85,2,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Seen","Rota"
2,"TA","COKI",75,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"TA","COKI",100,1,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Heard","Rota"
2,"TA","COKI",150,1,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Heard","Rota"
2,"TA","COKI",85,1,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Heard","Rota"
2,"TA","COKI",35,2,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Seen","Rota"
2,"TA","COKI",55,2,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Seen","Rota"
2,"TA","COKI",55,2,3,29,82,5,5,715,20,0,0,5,1982-03-29,0,505,"Seen","Rota"
2,"TA","COKI",170,1,3,29,82,5,11,838,30,0,0,5,1982-03-29,0,511,"Heard","Rota"
2,"TA","COKI",150,4,3,29,82,5,11,838,30,0,0,5,1982-03-29,0,511,"H&S","Rota"
2,"TA","COKI",75,1,3,29,82,5,11,838,30,0,0,5,1982-03-29,0,511,"Heard","Rota"
2,"TA","COKI",20,1,3,29,82,5,12,859,30,0,0,5,1982-03-29,0,512,"Heard","Rota"
2,"TA","COKI",125,1,3,29,82,5,13,920,40,0,0,5,1982-03-29,0,513,"Heard","Rota"
2,"TA","COKI",125,1,3,29,82,5,13,920,40,0,0,5,1982-03-29,0,513,"Heard","Rota"
2,"TA","COKI",15,2,3,29,82,5,14,932,40,0,0,5,1982-03-29,0,514,"Seen","Rota"
2,"TA","COKI",95,1,3,29,82,5,14,932,40,0,0,5,1982-03-29,0,514,"Heard","Rota"
2,"PA","COKI",95,1,4,7,82,11,5,711,30,0,1,1,1982-04-07,0,1105,"Heard","Rota"
2,"PA","COKI",100,1,4,7,82,11,5,711,30,0,1,1,1982-04-07,0,1105,"Heard","Rota"
2,"PA","COKI",70,1,4,7,82,11,11,836,40,0,1,1,1982-04-07,0,1111,"Heard","Rota"
2,"PA","COKI",35,1,4,7,82,11,11,836,40,0,1,1,1982-04-07,0,1111,"Heard","Rota"
2,"PA","COKI",130,1,4,7,82,11,11,836,40,0,1,1,1982-04-07,0,1111,"Heard","Rota"
2,"PA","COKI",150,1,4,7,82,11,11,836,40,0,1,1,1982-04-07,0,1111,"Heard","Rota"
2,"PA","COKI",100,1,4,7,82,11,16,944,50,0,1,1,1982-04-07,0,1116,"Heard","Rota"
2,"PA","COKI",90,1,4,7,82,11,16,944,50,0,1,1,1982-04-07,0,1116,"Heard","Rota"
2,"PA","COKI",200,1,4,7,82,11,16,944,50,0,1,1,1982-04-07,0,1116,"Heard","Rota"
2,"PA","COKI",120,1,4,7,82,11,16,944,50,0,1,1,1982-04-07,0,1116,"Heard","Rota"
2,"PA","COKI",130,1,4,7,82,11,3,643,20,0,1,2,1982-04-07,0,1103,"Heard","Rota"
2,"PA","COKI",150,1,4,7,82,11,3,643,20,0,1,2,1982-04-07,0,1103,"Heard","Rota"
2,"PA","COKI",85,1,4,7,82,11,3,643,20,0,1,2,1982-04-07,0,1103,"Heard","Rota"
2,"PA","COKI",40,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PA","COKI",55,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PA","COKI",180,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PA","COKI",180,1,4,7,82,11,2,630,20,0,1,3,1982-04-07,0,1102,"Heard","Rota"
2,"PA","COKI",80,1,4,7,82,11,2,630,20,0,1,3,1982-04-07,0,1102,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,4,657,20,0,1,3,1982-04-07,0,1104,"Heard","Rota"
2,"PA","COKI",65,4,4,7,82,11,4,657,20,0,1,3,1982-04-07,0,1104,"H&S","Rota"
2,"PA","COKI",65,4,4,7,82,11,4,657,20,0,1,3,1982-04-07,0,1104,"H&S","Rota"
2,"PA","COKI",65,4,4,7,82,11,4,657,20,0,1,3,1982-04-07,0,1104,"H&S","Rota"
2,"PA","COKI",160,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PA","COKI",180,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PA","COKI",180,1,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"Heard","Rota"
2,"PA","COKI",200,1,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"Heard","Rota"
2,"PA","COKI",70,4,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"H&S","Rota"
2,"PA","COKI",70,4,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"H&S","Rota"
2,"PA","COKI",200,1,4,7,82,11,7,739,30,0,1,5,1982-04-07,0,1107,"Heard","Rota"
2,"PA","COKI",180,1,4,7,82,11,7,739,30,0,1,5,1982-04-07,0,1107,"Heard","Rota"
2,"PA","COKI",220,1,4,7,82,11,8,753,30,0,1,5,1982-04-07,0,1108,"Heard","Rota"
2,"PA","COKI",220,1,4,7,82,11,8,753,30,0,1,5,1982-04-07,0,1108,"Heard","Rota"
2,"PA","COKI",140,1,4,7,82,11,8,753,30,0,1,5,1982-04-07,0,1108,"Heard","Rota"
2,"PA","COKI",35,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PA","COKI",35,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PA","COKI",110,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PA","COKI",220,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PA","COKI",28,4,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"H&S","Rota"
2,"PA","COKI",100,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PA","COKI",210,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PA","COKI",210,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PA","COKI",30,2,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Seen","Rota"
2,"PA","COKI",160,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PA","COKI",170,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PA","COKI",25,2,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Seen","Rota"
2,"PA","COKI",120,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PA","COKI",250,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PA","COKI",160,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PP","COKI",140,1,4,7,82,11,1,617,20,0,1,2,1982-04-07,0,1101,"Heard","Rota"
2,"PP","COKI",85,1,4,7,82,11,2,630,20,0,1,2,1982-04-07,0,1102,"Heard","Rota"
2,"PP","COKI",160,1,4,7,82,11,3,643,20,0,1,2,1982-04-07,0,1103,"Heard","Rota"
2,"PP","COKI",65,1,4,7,82,11,3,643,20,0,1,2,1982-04-07,0,1103,"Heard","Rota"
2,"PP","COKI",160,1,4,7,82,11,4,657,20,0,1,2,1982-04-07,0,1104,"Heard","Rota"
2,"PP","COKI",190,1,4,7,82,11,4,657,20,0,1,2,1982-04-07,0,1104,"Heard","Rota"
2,"PP","COKI",80,1,4,7,82,11,4,657,20,0,1,2,1982-04-07,0,1104,"Heard","Rota"
2,"PP","COKI",250,1,4,7,82,11,5,711,30,0,1,2,1982-04-07,0,1105,"Heard","Rota"
2,"PP","COKI",130,1,4,7,82,11,5,711,30,0,1,2,1982-04-07,0,1105,"Heard","Rota"
2,"PP","COKI",160,1,4,7,82,11,5,711,30,0,1,2,1982-04-07,0,1105,"Heard","Rota"
2,"PP","COKI",45,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PP","COKI",75,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PP","COKI",180,1,4,7,82,11,9,808,40,0,1,2,1982-04-07,0,1109,"Heard","Rota"
2,"PP","COKI",85,1,4,7,82,11,16,944,50,0,1,2,1982-04-07,0,1116,"Heard","Rota"
2,"PP","COKI",85,1,4,7,82,11,16,944,50,0,1,2,1982-04-07,0,1116,"Heard","Rota"
2,"PP","COKI",105,1,4,7,82,11,16,944,50,0,1,2,1982-04-07,0,1116,"Heard","Rota"
2,"PP","COKI",120,1,4,7,82,11,16,944,50,0,1,2,1982-04-07,0,1116,"Heard","Rota"
2,"PP","COKI",90,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PP","COKI",130,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PP","COKI",260,1,4,7,82,11,15,956,50,0,1,3,1982-04-07,0,1115,"Heard","Rota"
2,"PP","COKI",65,1,4,7,82,11,11,836,40,0,1,4,1982-04-07,0,1111,"Heard","Rota"
2,"PP","COKI",120,1,4,7,82,11,11,836,40,0,1,4,1982-04-07,0,1111,"Heard","Rota"
2,"PP","COKI",80,1,4,7,82,11,11,836,40,0,1,4,1982-04-07,0,1111,"Heard","Rota"
2,"PP","COKI",190,1,4,7,82,11,11,836,40,0,1,4,1982-04-07,0,1111,"Heard","Rota"
2,"PP","COKI",150,1,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"Heard","Rota"
2,"PP","COKI",60,4,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"H&S","Rota"
2,"PP","COKI",85,1,4,7,82,11,6,724,30,0,1,5,1982-04-07,0,1106,"Heard","Rota"
2,"PP","COKI",140,1,4,7,82,11,7,739,30,0,1,5,1982-04-07,0,1107,"Heard","Rota"
2,"PP","COKI",260,1,4,7,82,11,7,739,30,0,1,5,1982-04-07,0,1107,"Heard","Rota"
2,"PP","COKI",300,1,4,7,82,11,7,739,30,0,1,5,1982-04-07,0,1107,"Heard","Rota"
2,"PP","COKI",180,1,4,7,82,11,8,753,30,0,1,5,1982-04-07,0,1108,"Heard","Rota"
2,"PP","COKI",220,1,4,7,82,11,8,753,30,0,1,5,1982-04-07,0,1108,"Heard","Rota"
2,"PP","COKI",65,4,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"H&S","Rota"
2,"PP","COKI",80,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PP","COKI",300,2,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Seen","Rota"
2,"PP","COKI",270,1,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Heard","Rota"
2,"PP","COKI",450,2,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"Seen","Rota"
2,"PP","COKI",130,4,4,7,82,11,10,821,40,0,1,5,1982-04-07,0,1110,"H&S","Rota"
2,"PP","COKI",180,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PP","COKI",160,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PP","COKI",270,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PP","COKI",150,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PP","COKI",75,1,4,7,82,11,12,852,40,0,1,5,1982-04-07,0,1112,"Heard","Rota"
2,"PP","COKI",100,2,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Seen","Rota"
2,"PP","COKI",100,2,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Seen","Rota"
2,"PP","COKI",120,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PP","COKI",170,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PP","COKI",250,1,4,7,82,11,13,907,50,0,1,5,1982-04-07,0,1113,"Heard","Rota"
2,"PP","COKI",160,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PP","COKI",140,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PP","COKI",170,1,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Heard","Rota"
2,"PP","COKI",70,2,4,7,82,11,14,920,50,0,1,5,1982-04-07,0,1114,"Seen","Rota"
